Username,Konten,Lokasi
ketikanez,@gibran_tweet Gpp yg penting dieksekusi gak kaya gubernur sebelah cm bisa bikin maketnya aja @ridwankamil,Bandung
AnzaApdhana1,"“Ayo dukung kreativitas seniman lokal untuk jadi bagian dari #JabarJuara.” ujar pria yang sering disapa kang Emil (Ridwan Kamil) tersebut, dalam keterangannya, Kamis 16 Februari 2023
#BersamaJuara",
AnzaApdhana1,"Mendukung para seniman lokal untuk terus berkarya adalah hal yang wajib kita lakukan. Gubernur Jawa Barat, Ridwan Kamil pun melakukan hal yang sama, dalam rangka mendukung gerakan #JabarJuara. 
#BersamaJuara",
AnzaApdhana1,"Ridwan Kamil Ajak Seniman Lokal Buat Terus Berkarya
#BersamaJuara https://t.co/31OSi1JKn7",
aQil_aRnot,"Libur Isra Miraj, Wisatawan Banyak yang memanfaatkannya untuk melihat kemegahan masjid yang baru diresmikan oleh Gubernur Jawa Barat, Ridwan Kamil pada akhir tahun 2022.
#BersamaJuara 
https://t.co/tMs7NPL6KY",Huntington-Beach California
aQil_aRnot,"Pembangunan Flyover Bojongsong mulai mengemuka sebagai solusi mengurai kemacetan di Kabupaten Bandung. Wacana ini akan diusulkan Bupati Bandung, Dadang Supriatna ke Gubernur Jawa Barat, Ridwan Kamil.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Kerap Macet, Flyover Bojongsoang akan Diusulkan ke Ridwan Kamil
#BersamaJuara 
https://t.co/qHmISWyBWC",Huntington-Beach California
tribunmedan,"Dicari-cari Ridwan Kamil Usai Mundur dari Bupati Indramayu, Lucky Hakim: Saya tak Punya Nomor Bapak
 
https://t.co/Fi1w7rAZX7 via @tribunmedan","Medan, Indonesia"
aQil_aRnot,"Kata Emil (Ridwan Kamil), MRT Bekasi juga bisa mengurangi beban ekonomi dan menjadikan ekonomi lebih maju karena pergerakannya lebih cepat.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Emil (Ridwan Kamil) berharap, adanya moda transportasi ini bisa membuat warga Bekasi beralih menggunakan transportasi massal. Sehingga, penggunaan kendaraan pribadi dapat diminimalisir.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Gubernur Jabar, Ridwan Kamil alias Emil mengatakan, program ini merupakan arahan dari Presiden Jokowi untuk mulai membangun MRT dari jalur barat Provinsi Banten hingga Cikarang.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Kesepakatan pembangunan ini dilakukan dengan penandatanganan Kesepakatan Bersama antara Gubernur Jawa Barat Ridwan Kamil dengan Penjabat Gubernur DKI Heru Budi Hartono dan Plt. Wali Kota Bekasi Tri Adhianto Tjahyono di Gedung Sate, Kota Bandung.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Pemerintah Daerah Provinsi Jabar, Pemdaprov DKI Jakarta, dan Pemda Kota Bekasi sepakat untuk berkolaborasi di dalam pembangunan Moda Raya Terpadu (MRT). Transportasi publik ini rencananya akan diberikan nama MRT East–West.
#BersamaJuara 
Ridwan Kamil",Huntington-Beach California
aQil_aRnot,"MRT Bekasi, Ridwan Kamil Berharap Warga Beralih ke Transportasi Massal
https://t.co/dyem2DTZfz",Huntington-Beach California
UCornering,"@republikaonline Calon nanti itu bukan sosok yang 
Di kenal publik 
Tapi akan bisa Indonesia ini bisa sentra
Dengan ke pemimpin kanan nya
Kelak 
Pokonya belum di kenal sama publik
Tapi itu sosok 
Di satu di tahun 
2024 nanti
Bukan .Anis .Prabowo atau fajar 
Apa lagi Ridwan Kamil
Bukan sama sekali",Bandung
RK_JabarJuara,"Bismillah 3 poin 💙

#ridwankamil #persibday #persib https://t.co/3xUa5VxhDr","Bandung, Jawa Barat"
Ibrhmalf,@alviriskii ketemu ridwan kamil ga a,
jpnncom,2 Menit 30 Detik Lucky Hakim Untuk Ridwan Kamil #RidwanKamil https://t.co/kocxtjuoke,Indonesia
Acit_Momza27,@CNNIndonesia Beneran ini teh pak @ridwankamil ???,"Kota Bandung, Jawa Barat"
AmandaH28769621,Ridwan Kamil sebagai sosok pemimpin ideal untuk Presiden RI 2024 #RelawanKebangsaan,"Cirebon, Jawa Barat"
robertosm777,"@ridwankamil Tidak se-urgent itu.. banyak orang lain yang berkorban besar juga saat itu, hany saja mereka tidak tersorot  spotlight.. kalau ukurannya seperti itu, harusnya ada banyak nama yang serentak dinyatakan sebagai pahlwan nasional","West Java, Indonesia"
RK24Official,"Disebut Susah Dihubungi oleh Ridwan Kamil, Lucky Hakim: Mohon Maaf, Saya Siap Siaga Meluncur - by @rk_2024
#RelawanKebangsaan24

https://t.co/TH1FG3w8sx",
BoimPringgadani,@adi_juansyah @CNNIndonesia @ridwankamil #JabarJuara,Kota Bekasi 
Utilyns,@ridwankamil Judul lagu nya?,"Majalengka, Indonesia"
RakaAbiasa,"@ridwankamil Saya kira ibu inggit udah jadi pahlawan nasional, ternyata belum. Gaskeun","ManTep_GAN, #IndonesiaTanpaJIL"
Maatschappijanm,@ridwankamil saya setuju sih apalagi pas beliau dan bung karno lari dari bengkulu ke padang di buku bung karno penyambung lidah rakyat 🙃,
abumfs,@ridwankamil Sejarah dibentuk oleh penguasa.... klw saja bisa jujur ceritanya mungkin tdk akan ada usulan seperti ini...,Jakarta
PRFMnews,@bhaktiperdana @dishub_jabar @ridwankamil punten ini lokasinya dimana kang?,"Bandung, West Java, Indonesia"
Riau24Com,"Disebut Susah Dihubungi oleh Ridwan Kamil, Lucky Hakim: Mohon Maaf, Saya Siap Siaga Meluncur https://t.co/Ac3BW7u3XU",Pekanbaru
bhaktiperdana,"@PRFMnews duh ieu kedah di cc keun kasaha nya macet teu paruguh kieu, stuck ieu di tos 7x nampu beureum pak teu acan gerak, daj teu aya petugas 1 pun, meni sae  @dishub_jabar @ridwankamil https://t.co/Evo5QJDSab","Bandung, West Java"
IDNTimesJabar,Curhat Lucky Hakim ke Ridwan Kamil: Tak Punya Ajudan hingga Aspri https://t.co/uTDzQvY9ee,"Jawa Barat, Indonesia"
rayen_farmasi,@ridwankamil Istri nya banyak amat itu pahlawan apaan macam begitu?,Satu shaf di depanmu
driezAdrian,"Pengadaan Internet fiber Optik Domestic, Disdikpora Pangandaran Diduga Mark Up Anggaran https://t.co/kQSAhIhD1H 

@jokowi 
@Kemendiknas 
@bpkri 
@BPKPgoid 
@KPK_RI 
@KejaksaanRI 
@DivHumas_Polri 
@kejati_jabar 
@ridwankamil 
@PaUuRuzhanul",Ciamis 
AmandaH28769621,Negara dan bangsa ini membutuhkan sosok Ridwan Kamil sebagai Presiden RI 2024 #RelawanKebangsaan,"Cirebon, Jawa Barat"
OposisiCerdas,"Dicari-cari Ridwan Kamil Usai Mundur Mendadak dari Jabatan Wakil Bupati Indramayu, Lucky Hakim Bikin Surat Terbuka
https://t.co/4F1iTLHCfX",
jabarprovgoid,"Pemda Provinsi Jabar Intens Sempurnakan Pengusulan Inggit Garnasih sebagai Pahlawan Nasional

@ridwankamil @PaUuRuzhanul @SWangsaatmaja 

Selengkapnya di https://t.co/EmHeFTWhuA

#jabarjuara #indonesiajuara https://t.co/LwalS52dZx","Bandung,Indonesia"
Bim3123,@ridwankamil Sangat Setuju,
RafiGates,@ridwankamil Yang kepo profil bu Inggit: https://t.co/ZFNmkcIsBE,"Yogyakarta, Indonesia"
aQil_aRnot,"Bupati Bandung ke Ridwan Kamil: Jangan Kota Bandung Saja Pak, Tolong Kabupaten Juga Diurus
#BersamaJuara 
https://t.co/Azw7zqk0vI",Huntington-Beach California
ReyzaSatria11,@ridwankamil  pa pengen nikah belum punya modal,
aQil_aRnot,"Sebelumnya, Wakil Gubernur Jabar Uu Ruzhanul menyampaikan bahwa Ridwan Kamil telah memberikan lampu hijau kepadanya untuk maju dalam Pilgub 2024
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Tak hanya untuk Uu, namun juga tokoh lainnya, termasuk istrinya Atalia Praratya yang belakangan disebut santer maju pada Pilwalkot Bandung.
#BersamaJuara 
Ridwan Kamil",Huntington-Beach California
aQil_aRnot,"Kang Emil, sapaan akrab Ridwan Kamil mengungkapkan, siapapun yang punya niat baik untuk Provinsi Jawa Barat harus didukung dan didoakan.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Gubernur Jawa Barat Ridwan Kamil memberikan restu bila Wagubnya tersebut memang ingin mencalonkan diri.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Sinyal pecah kongsi antara Gubernur Jawa Barat Ridwan Kamil dengan Wakil Gubernur Uu Ruzhanul Ulum mencuat. Belum lama ini Wagub Uu memberi sinyal maju dalam Pemilihan Gubernur (Pilgub) Jabar 2024.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Ridwan Kamil Beri Lampu Hijau Wagub Uu Maju Pilgub Jabar, Berpisah di 2024?
#BersamaJuara 
https://t.co/xWwzLtTJCH",Huntington-Beach California
korangala,"Posting Surat Terbuka untuk Ridwan Kamil, Lucky Hakim: Saya Mohon Maaf https://t.co/gEp35jAO4r","Bandung, Indonesia"
aQil_aRnot,"Dalam kesempatan itu, Lucky bercerita bahwa terakhir bertemu dengan Ridwan Kamil di Bandung Barat sekitar dua tahun lalu. Nah, menurut Lucky, pertemuan dengan Ridwan Kamil itu adalah perjalanan dinas terakhirnya.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Karena tahu dicari Ridwan Kamil berdasarkan berita media online, Lucky mengaku langsung pergi ke Bandung dari Jakarta. Lucky mengaku senang Ridwan Kamil mau merespons pengunduran dirinya.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Lucky Hakim pertama-tama menyampaikan permintaan maaf kepada Ridwan Kamil karena menghubunginya lewat Instagram. Lucky Hakim mengaku tidak tahu harus menghubungi Ridwan Kamil lewat mana karena dia mengaku tidak punya nomor kontak ajudan Ridwan Kamil.
#bersamaj",Huntington-Beach California
aQil_aRnot,"Pernyataan Lucky Hakim viral di akun TikTok. Dia menyampaikan pesan terbuka kepada Gubernur Jawa Barat Ridwan Kamil mengenai pengunduran dirinya dari jabatan wakil bupati Indramayu.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Bingung usai Mundur dari Wakil Bupati Indramayu, Lucky Hakim Kirim DM Instagram Ridwan Kamil
#BersamaJuara 
https://t.co/MC2OdGdvGD",Huntington-Beach California
aQil_aRnot,"Lucky Hakim Mengundurkan Diri Jadi Wabup Indramayu, RIdwan Kamil Ingin Bermusyawarah: Ok Kang, Saya Kontak
#BersamaJuara 
https://t.co/QA1cTTYkbZ",Huntington-Beach California
aQil_aRnot,"Karena itu, ia (Ridwan Kamil) berusaha menghubungi Lucky Hakim untuk meminta kejelasan. Sayangnya, usaha tersebut tak mudah. Lantaran Lucky Hakim susah untuk dihubungi.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Mundurnya Lucky Hakim sebagai Wakil Bupati Indramayu membuat publik heboh.

Tak hanya masyarakat biasa, Gubernur Jawa Barat Ridwan Kamil pun turut dibuat kaget.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Penyebab Lucky Hakim Sulit Dihubungi Ridwan Kamil Terkuak, Tak Ada Akses?
#BersamaJuara 
https://t.co/xfSgoMcPEO",Huntington-Beach California
hssssn_,Ah yg boneng @ridwankamil ??,
sibudipaksoy,@ridwankamil,Bandung
aQil_aRnot,"Ia (Ridwan Kamil) menambahkan, ""Pemerintah Jawa Barat kemarin di hari lahirnya Ibu Inggit, 17 Februari, mengusulkan agar beliau dianugerahi gelar Pahlawan Nasional karena jasa-jasanya kepada awal muasal sejarah kemerdekaan Indonesia.""
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Disampaikan pula bahwa Inggit turut mendampingi Sukarno ketika dibuang ke Ende. ""Sejarah mencatat di Ende lah pokok-pokok Pancasila direnungkan dan dirumuskan oleh Bung Karno ditemani Ibu Inggit Garnasih,"" jelas Ridwan Kamil.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Ridwan Kamil mengungkapkan, kala itu, Inggit rela menjual hartanya dan membuat bedak untuk dijual. Pengorbanan ini dilakukan untuk membiayai makanan dan obat-obatan Bung Karno saat di penjara.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"""Ditemani Ibu Inggit, di tahun 1920-an Bung Karno memulai melakukan pergerakan politik dan melawan Pemerintah Kolonial Belanda sehingga akhirnya ditangkap dan dipenjara di Penjara Banceuy dan Sukamiskin di Bandung,"" lanjut Ridwan Kamil.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Ia (Ridwan Kamil) menjelaskan bahwa Inggit Garnasih adalah istri Sukarno selama 20 tahun lamanya. Pengorbanan Inggit, dikatakannya luar biasa, ketika Bung Karno muda bersekolah di Bandung hingga pintu gerbang kemerdekaan Indonesia.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"""SETUJUKAH IBU INGGIT GARNASIH DIJADIKAN PAHLAWAN NASIONAL?"" tulis Ridwan Kamil dalam keterangan pembukan pada unggahan di Sabtu, 18 Februari 2023.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Ridwan Kamil membagikan sebuah unggahan yang menunjukkan potret Inggit Garnasih dan Sukarno di masa lalu. Ia juga menyertakannya dengan lagu latar bertajuk ""Hero"" yang dinyanyikan oleh Mariah Carey.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Gubernur Jawa Barat Ridwan Kamil menyatakan dukungannya terkait usulan istri Sukarno, Inggit Garnasih sebagai pahlawan nasional. Hal tersebut terlihat dari unggahan yang dibagikannya melalui akun Instagram pribadi.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Ridwan Kamil Dukung Usulan Inggit Garnasih Jadi Pahlawan Nasional
#BersamaJuara 
https://t.co/nr5OGi72cZ",Huntington-Beach California
651Safa,"Berita TERKINI ALASAN WAKIL BUPATI INDRAMAYU MENGUNDURKAN DIRI, LUCKY HAKIM KIRIM SURAT TERBUKA UNTUK RIDWAN KAMIL Tonton video lengkapnya : https://t.co/HEn5pXukUM",Indonesia
aQil_aRnot,"""Ini hanya masalah yang saya secara pribadi tidak bisa menebak tapi keputusannya adalah diskresi dari Presiden,"" pungkasnya (Ridwan Kamil).
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Emil (Ridwan Kamil) mengaku tidak bisa memastikan karena setiap momen dalam pengajuan ada dinamika sosial politiknya, seperti pengajuan Prof Mochtar Kusumaatmadja yang mengalami proses antrean. 
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Kang Emil (Ridwan Kamil) mengungkapkan, meskipun penetapan Inggit Garnasih tidak untuk tahun ini, namun, untuk prosesnya diharapkan minimal di tahun depan ditetapkan oleh pemerintah sebagai pahlawan nasional. 
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Selain itu, Inggit Garnasih memberikan buku sehingga Bung Karno lebih pintar dan cerdas yang berdampak terjadinya pergerakan yang melahirkan kemerdekaan. 

""Dengan kemerdekaan sekarang kita bisa menikmati kemajuan yang kita rasakan saat ini,"" tegas Ridwan Kamil.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"""Ibu Inggit sampai jual harta, membuat usaha bikin bedak, dijual lalu uangnya dipakai untuk membelikan makanan untuk Bung Karno,"" ujarnya (Ridwan Kamil).
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Menurut Ridwan Kamil, berdasarkan catatan sejarah, Inggit Garnasih sangat berjasa karena setia menemani Soekarno saat dipenjara di Ende, Banceuy, maupun Sukamiskin dengan kondisi yang sangat terpuruk dalam perjuangan meraih kemerdekaan. 
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"""Alhamdulillah kita mengusulkan di hari lahir Ibu Inggit Garnasih untuk diusulkan sebagai pahlawan nasional,"" kata Ridwan Kamil kepada wartawan di Bandung, Jumat (17/2/2023). 
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Gubernur Jawa Barat, Ridwan Kamil (Kang Emil) mengatakan sosok Inggit Garnasih memang layak menyandang pahlawan nasional karena telah banyak berjasa terutama untuk proklamator bangsa, Ir Soekarno. 
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Bertepatan dengan hari lahir Inggit Garnasih pada 17 Februari, Pemerintah Daerah Provinsi Jawa Barat (Pemdaprov Jabar) kembali mengajukan nama istri kedua Presiden Soekarno itu sebagai Pahlawan Nasional.
#BersamaJuara 
Ridwan Kamil",Huntington-Beach California
aQil_aRnot,"Soal Gelar Pahlawan Nasional untuk Inggit Garnasih, Ridwan Kamil Angkat Bicara
#BersamaJuara 
https://t.co/LloWhyLU1W",Huntington-Beach California
aQil_aRnot,"Ridwan Kamil pun memastikan belum melontarkan kata restu bagi siapapun yang berkomunikasi kepadanya mengenai urusan di Pemilu 2024 mendatang. Kang Emil kembali mengulang perkatannya jika ia hanya memberikan doa urusan siapapun dilancarkan pada Pemilu mendatang.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Tak hanya untuk Uu yang berkeinginan maju Pilgub Jabar 2024, pernyataan serupa Kang Emil (Ridwan Kamil) sampaikan kepada istrinya, Atalia Praratya yang memang digadang-gadang bakal maju di Pilwalkot Bandung.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Ridwan Kamil pun menanggapi soal klaim Uu yang mendapat restu untuk maju di Pilgub Jabar. Pria yang akrab disapa Kang Emil itu mengaku hanya memberikan doa.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"""Gini, saya tetep. Kalau Pak Emil (Ridwan Kamil) di sini lagi, saya dengan Pak Emil. Tidak mau berpisah dengan Pak Emil. Tapi kalau Pak Emil tidak di sini, jadi cawapres misalkan atau jadi calon gubernur daerah lain, jelas saya maju,"" pungkasnya.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Uu mengakui tidak ingin head to head langsung dengan RK (Ridwan Kamil). Bahkan jika bisa, ia ingin berpasangan lagi dengannya di Pilgub Jabar 2024.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Meski demikian, Uu mengaku akan membatalkan niatnya maju sebagai cagub jika Ridwan Kamil mendapat mandat dari Golkar untuk maju kembali di Jawa Barat. 
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"""Ada lah, tapi kan tidak bisa dongeng (cerita) di sini. Saya intens komunikasi dengan Pak Ridwan Kamil, masalah politik, pembangunan, masalah rotasi-mutasi juga. Pak Emil kan digadangkan jadi calon pimpinan nasional, nah saya persiapan"" ungkapnya.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Selama ini, mantan Bupati Tasikmalaya itu mengaku sering berkomunikasi dengan Ridwan Kamil, salah satunya membahas tentang proyeksi di tahun politik 2024. Namun, Uu enggan membocorkan apa saja yang dibicarakannya denga Ridwan Kamil
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Uu mengklaim soal restu dari Ridwan Kamil itu saat ditemui di Gedung Sate Bandung. Menurut Uu, restu itu berkaitan dengan program yang saat ini digagas Ridwan Kamil-Uu, harus dilanjutkannya.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Wakil Gubernur Jabar Uu Ruzhanul Ulum mengklaim mendapat restu dari Gubernur Jabar Ridwan Kamil untuk maju di Pilgub 2024. Uu pun mantap maju. Tapi, Ridwan Kamil membantah restu yang diklaim Uu itu.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Kala Wagub Uu Keliru Tafsirkan Ucapan RK (Ridwan Kamil) soal Pilgub 2024
#BersamaJuara 
https://t.co/SD4L5NITBX",Huntington-Beach California
aQil_aRnot,"""Saya harus tabayyun, karena harus dua versi. Masing masing punya cerita, karena isu nomor satu dan dua ini selalu menjadi dinamika,"" ujar Ridwan Kamil.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Ridwan Kamil menyatakan harus mendengar dari kedua pihak mengenai rumor adanya ketidakharmonisan antara Lucky Hakim dengan Nina Agustina.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Menteri Dalam Negeri (Mendagri) Tito Karnavian memberikan arahan kepada Ridwan Kamil untuk berupaya mendamaikan Lucky Hakim dengan Bupati Indramayu, Nina Agustina melalui musyawarah.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Ridwan Kamil menyayangkan keputusan Lucky Hakim mengundurkan diri dari jabatannya sebagai Wakil Bupati Indramayu. Ridwan Kamil mengaku sudah berulang kali mencoba menghubungi Lucky Hakim melalui ajudan dan stafnya, namun tidak kunjung ada jawaban.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Gubernur Jawa Barat, Ridwan Kamil mengerahkan tim pencari fakta terkait mundurnya Lukman Hakim atau Lucky Hakim sebagai Wakil Bupati Indramayu periode 2021-2026. Tim pencari fakta ini dikerahkan lantaran Lucky Hakim sulit dihubungi oleh Ridwan Kamil.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Lucky Hakim Sulit Dihubungi, Ridwan Kamil Kerahkan Tim Pencari Fakta
#BersamaJuara 
https://t.co/6Mtxe67ZrX",Huntington-Beach California
aQil_aRnot,"Dia menuturkan sangat antusias karena berniat membeberkan alasannya memilih resign kepada sang Gubernur.

""Jadi saya seneng banget alhamdulillah bapak Ridwan Kamil berkenan merespons tentang pengunduran diri saya ini,"" tutur Lucky Hakim.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Lucky Hakim mengaku langsung pergi ke Bandung setelah tahu dicari-cari Ridwan Kamil. 

""Tapi saya membaca berita di online, bapak mencari saya. Jadi saya langsung meluncur dari Jakarta ke Bandung,"" ucapnya.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"""Karena saya nggak tahu menghubungi bapak (Gubernur Ridwan Kamil) lewat mana. Saya nggak tahu nomor ajudan bapak dan saya juga tidak punya ajudan atau protokoler, aspri yang bisa menghubungi bapak,"" sambungnya lagi.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"""Pak Ridwan Kamil yang saya hormati, Gubernur Jawa Barat (Ridwan Kamil). Saya mohon maaf menghubungi bapak melalui Instagram,"" kata Lucky Hakim.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Artis Lucky Hakim membuat surat terbuka yang ditunjukkan kepada Gubernur Jawa Barat, Ridwan Kamil di Instagram.

Hal ini terjadi setelah Lucky Hakim memutuskan mengundurkan diri dari jabatan sebagai Wakil Bupati Indramayu.
#BersamaJuara",Huntington-Beach California
aQil_aRnot,"Dicari-cari Ridwan Kamil Usai Mundur Mendadak dari Jabatan Wakil Bupati Indramayu, Lucky Hakim Bikin Surat Terbuka
#BersamaJuara 
https://t.co/6rZfmleYaX",Huntington-Beach California
AipRabani,"@ridwankamil Kenapa ndak semua istri bung karno jadikan pahlawan? Dan sy setuju klo istri bung karno jadiin film dan RK sebagai tokoh utamannya lebih pas, biasannya begitu",Indonesia
Infoinjabar,"Lucky Hakim Sampaikan Klarifikasi kepada Gubernur Jawa Barat Melalui Medsos, Ridwan Kamil https://t.co/mLjpxGfkYB",Jawa Barat
AmandaH28769621,Siap kawal dan menangkan Ridwan Kamil sebagai Presiden RI 2024 #RelawanKebangsaan,"Cirebon, Jawa Barat"
anzanie16,"Survei Indikator: Elektabilitas AHY Peringkat 4, Kalahkan Ridwan Kamil &amp; Sandiuno https://t.co/a0Z2NNQG0J #AHYPimpinPerubahan",
SAFANews3,"ALASAN WAKIL BUPATI INDRAMAYU MENGUNDURKAN DIRI, LUCKY HAKIM KIRIM SURAT... https://t.co/M0MhRcffvO via @YouTube #WAKILBUPATIINDRAMAYU #LUCKYHAKIM #RIDWANKAMIL #GAJIWAKILBUPATI",
SaMulyadi,@ridwankamil Setujulah,
betutujaen,"@Outstandjing yang jadi kiara park ini bkn?? @ridwankamil ngerjain apa, bicaranya apa, janji tinggal janji",DPS – BDO
shizutzyy,@PratamaAxz @ridwankamil Bacot goblog sok katimu jeung aing mana alamat sia,
jib_by_yaah,"@ridwankamil Memiliki peran penting namun jasa-jasa nya terlupakan, pengen lebih banyak tau kisah para perempuan di balik kemerdekaan Indonesia",
Indrapuputon,"Upami aya rakit atau perahu cocok sigana wisata air 
@PRFMnews @ridwankamil https://t.co/mVwVj28meb",Kota Bandung
Infoinjabar,"Ridwan Kamil Respons Lucky Hakim di Media Sosial: Ok, kang. Sy kontak lagi https://t.co/0bqBjCxZyz",Jawa Barat
anin261104,@ridwankamil Tidak....msh byk yg lebih berjasa,
golkarpedia,"Ridwan Kamil Pertanyakan Kelaziman Metode Bocah Autis Dijepit Terapis Di Depok
#airlanggahartarto #airlanggapemersatu #airlanggauntukindonesia #partaigolkar #golkarpedia #golkarsolid #AirlanggaPresiden
https://t.co/RNYh1DHz8d","DKI Jakarta, Indonesia"
dulFatah11,@ridwankamil Setuju pak,
liputan6dotcom,Ridwan Kamil Dukung Usulan Inggit Garnasih Jadi Pahlawan Nasional https://t.co/JzW1iJf9Kk,INDONESIA
AH_SiregarXIX,@bungdree @ridwankamil Saya kita tak perlu ada wakil dalam pemerintahan daerah. Bila berhalangan care takernya ada Sekda. Wakil² kepala daerah ini gak ada fungainya dan selalu berkomplik dengan kepala daerah.,Diatas Genteng Istana
panjidanumaya,@ridwankamil Ngak ah,"bandung, Indonesia"
AmandaH28769621,"Indonesia Raya, siap menjadi Juara bersama Ridwan Kamil sebagai presiden","Cirebon, Jawa Barat"
RantauWarrior13,"@Dediy_orlando @whatabttzu @BagasSaputtrraa @ridwankamil Kunaon ngamuk kang? Tuduhan naon asa teu puguh sia mah. Cik ah ente Cimahi na dimana, urang diskusi sehat",
bungdree,Sepertinya si LH ini dipersekusi oleh Bupati nya…. @ridwankamil,
uanuanan,@txtdarisukabumi kabupaten sebesar sukabumi kok dibiarin gapunya bupati sih pak? @ridwankamil @PaUuRuzhanul,
sdnswts,"@cecilfbr @ridwankamil Lebih sedih suaminya bu Inggit gak sih, udah baik ngasih tumpangan ke BK eh malah istrinya diambil.",
nadjmi_thohari,@sandiuno saya doakan jika bapak @sandiuno berpasangan dengan Bapak @ridwankamil dalam Pilpres 2024 Insya Allah MENANG.,"Sumatera Selatan, Indonesia"
r_cendolin,@ridwankamil Klo emaknya si nenek yg lagi lucu2nya itu apa kontribusinya ndan.?😁,
jurnalwin,Akhirnya bisa komen postingan ridwan kamil yg unpopuler dengan meme Breaking Bad 💀💀,angkringan nogotirto 
IwanAsgar17,@ridwankamil Setuju Bangeeeet,"Kota Bandung, Jawa Barat"
RK24Official,"Dikebiri Bupati? Pilunya curhat Lucky Hakim ke Ridwan Kamil bak pejabat rasa rakyat - by @rk_2024
#RelawanKebangsaan24

https://t.co/nnI8KeI85j",
RK24Official,"Ridwan Kamil Usul Inggit Garnasih, Istri Soekarno Jadi Pahlawan Nasional - Harian Haluan - by @rk_2024
#RelawanKebangsaan24

https://t.co/bILl80kjgA",
RK24Official,"Lucky Hakim Berada di Bandung, Bersiap Bertemu Ridwan Kamil - PRFM News - by @rk_2024
#RelawanKebangsaan24

https://t.co/UhVUddx7si",
AswanaAktivix,"@ridwankamil Jangan cuma bu inggit, yang lainnya juga",
